Gene	sgRNA	time|beta	time|z	time|p-value	time|fdr	time|wald-p-value	time|wald-fdr	common|beta	common|z	common|p-value	common|fdr	common|wald-p-value	common|wald-fdr	BG11_Control|beta	BG11_Control|z	BG11_Control|p-value	BG11_Control|fdr	BG11_Control|wald-p-value	BG11_Control|wald-fdr	BG11_Lys|beta	BG11_Lys|z	BG11_Lys|p-value	BG11_Lys|fdr	BG11_Lys|wald-p-value	BG11_Lys|wald-fdr
slr0236	5	-0.012081	-1.4804	0.47577	0.99779	0.13878	0.32183	-0.0015101	-1.4804	0.47577	0.99779	0.13878	0.32183	0.00094551	0.019701	0.94783	0.99664	0.98428	0.9936	-0.0024556	-0.051157	0.93708	0.99843	0.9592	0.98206
slr0725	5	0.0066397	1.572	0.59848	0.99779	0.11595	0.28779	0.00082996	1.572	0.59848	0.99779	0.11595	0.28779	-0.054912	-2.2193	0.45467	0.97343	0.026463	0.13459	0.055742	2.2527	0.44725	0.97294	0.024278	0.12653
sll1204	5	0.0041574	0.76049	0.74658	0.99804	0.44696	0.63756	0.00051967	0.76049	0.74658	0.99804	0.44696	0.63756	-0.048859	-1.5243	0.49726	0.98134	0.12743	0.34873	0.049379	1.5404	0.49375	0.97806	0.12347	0.34048
sll1049	5	-0.0096351	-1.4072	0.56135	0.99779	0.15937	0.34858	-0.0012044	-1.4072	0.56135	0.99779	0.15937	0.34858	-0.005895	-0.14711	0.96483	0.99664	0.88304	0.94906	0.0046906	0.11705	0.97792	0.99843	0.90682	0.95871
sll1062	4	0.013304	1.3134	0.32122	0.95874	0.18906	0.38526	0.0016631	1.3134	0.32122	0.95874	0.18906	0.38526	-0.17013	-2.8712	0.13345	0.73758	0.0040887	0.040242	0.17179	2.8992	0.13462	0.7481	0.0037413	0.036764
ssr3000	5	0.00080978	0.15781	0.94998	0.99804	0.87461	0.93176	0.00010122	0.15781	0.94998	0.99804	0.87461	0.93176	0.053798	1.7847	0.4111	0.96864	0.074314	0.25288	-0.053696	-1.7809	0.41462	0.96419	0.074933	0.2522
atp1	5	-0.058864	-5.9762	0.01016	0.17219	2.2841e-09	1.0925e-07	-0.007358	-5.9762	0.01016	0.17219	2.2841e-09	1.0925e-07	0.1339	2.315	0.087143	0.65156	0.020614	0.11505	-0.14126	-2.4417	0.074052	0.6129	0.014618	0.092937
sll1203	5	0.0065644	1.9456	0.60434	0.99779	0.051708	0.18015	0.00082055	1.9456	0.60434	0.99779	0.051708	0.18015	-0.034705	-1.7587	0.6356	0.99097	0.078631	0.26269	0.035526	1.8002	0.62466	0.99154	0.071834	0.24625
sll1202	5	0.0018343	0.31722	0.89	0.99804	0.75107	0.85422	0.00022929	0.31722	0.89	0.99804	0.75107	0.85422	-0.0055071	-0.16261	0.9703	0.99664	0.87082	0.94345	0.0057364	0.16937	0.96561	0.99843	0.86551	0.93552
sll0219	5	0.087992	3.2523	0.0076202	0.13684	0.0011446	0.011137	0.010999	3.2523	0.0076202	0.13684	0.0011446	0.011137	0.23382	1.4774	0.0076202	0.16596	0.13956	0.36555	-0.22282	-1.4078	0.0091833	0.18577	0.15919	0.38983
rfbD2	5	-0.0040248	-0.66545	0.78683	0.99804	0.50576	0.68244	-0.0005031	-0.66545	0.78683	0.99804	0.50576	0.68244	-0.053053	-1.4981	0.46874	0.97626	0.13411	0.35772	0.05255	1.4838	0.47128	0.97509	0.13786	0.36128
slr1494	5	0.011707	2.4501	0.36245	0.98044	0.01428	0.077232	0.0014634	2.4501	0.36245	0.98044	0.01428	0.077232	-0.046088	-1.6502	0.52149	0.98134	0.0989	0.30219	0.047551	1.7025	0.50645	0.98072	0.088654	0.2813
slr1495	5	0.012716	1.7477	0.32552	0.96066	0.080509	0.23318	0.0015895	1.7477	0.32552	0.96066	0.080509	0.23318	0.15051	3.537	0.061352	0.56452	0.00040473	0.0075599	-0.14892	-3.4994	0.063697	0.57801	0.00046625	0.0082285
slr1493	5	0.0019507	0.33739	0.88218	0.99804	0.73582	0.84528	0.00024384	0.33739	0.88218	0.99804	0.73582	0.84528	0.0052001	0.15332	0.90055	0.99664	0.87815	0.94589	-0.0049562	-0.1461	0.90719	0.99701	0.88384	0.94614
slr0742	5	-0.0096129	-0.43299	0.56213	0.99779	0.66502	0.79784	-0.0012016	-0.43299	0.56213	0.99779	0.66502	0.79784	0.18134	1.3578	0.031458	0.41071	0.17451	0.41158	-0.18255	-1.365	0.031653	0.41538	0.17226	0.40815
morR	5	0.0069637	1.4064	0.5805	0.99779	0.15961	0.34894	0.00087046	1.4064	0.5805	0.99779	0.15961	0.34894	-0.062197	-2.1428	0.40426	0.96818	0.03213	0.15185	0.063067	2.1726	0.39937	0.9637	0.029812	0.14354
slr1100	5	0.017019	2.0728	0.21551	0.89176	0.038195	0.14841	0.0021274	2.0728	0.21551	0.89176	0.038195	0.14841	0.20506	4.2624	0.016022	0.28571	2.0225e-05	0.00077459	-0.20294	-4.2173	0.017585	0.30405	2.4726e-05	0.00092372
chlD	5	-0.041606	-3.8705	0.045526	0.44381	0.00010863	0.0015149	-0.0052008	-3.8705	0.045526	0.44381	0.00010863	0.0015149	0.24387	3.8454	0.0054709	0.13333	0.00012037	0.0031562	-0.24907	-3.9257	0.0050801	0.13065	8.6481e-05	0.0024454
sll0217	5	0.11915	2.5683	0.0015631	0.044693	0.01022	0.061466	0.014894	2.5683	0.0015631	0.044693	0.01022	0.061466	0.34537	1.2736	0.00019539	0.012821	0.2028	0.44489	-0.33048	-1.2187	0.00039078	0.022989	0.22297	0.46784
sll0216	5	-0.0027478	-0.46945	0.8517	0.99804	0.63875	0.77966	-0.00034348	-0.46945	0.8517	0.99804	0.63875	0.77966	0.15614	4.5535	0.053732	0.53578	5.2751e-06	0.00028419	-0.15648	-4.563	0.054513	0.53346	5.0435e-06	0.00026073
sll1658	5	0.0059511	0.92537	0.63775	0.99804	0.35477	0.55868	0.00074388	0.92537	0.63775	0.99804	0.35477	0.55868	0.04813	1.2788	0.45545	0.97343	0.20095	0.44266	-0.047386	-1.259	0.46893	0.97509	0.20804	0.44964
pcrR	5	0.010163	2.6422	0.42692	0.99779	0.0082377	0.052439	0.0012704	2.6422	0.42692	0.99779	0.0082377	0.052439	-0.044061	-1.9585	0.53771	0.98134	0.050169	0.19966	0.045332	2.0149	0.52814	0.98127	0.043914	0.18258
slr1411	5	-0.026953	-3.0747	0.16628	0.82621	0.0021069	0.018721	-0.0033691	-3.0747	0.16628	0.82621	0.0021069	0.018721	0.077754	1.5029	0.26807	0.91167	0.13287	0.35586	-0.081123	-1.5674	0.25635	0.90021	0.11701	0.33032
ppiB	5	0.053923	1.9064	0.031848	0.36105	0.056599	0.19057	0.0067404	1.9064	0.031848	0.36105	0.056599	0.19057	-0.050399	-0.30474	0.48789	0.9781	0.76057	0.88	0.057139	0.34548	0.43865	0.97294	0.72974	0.86095
sll1663	5	0.0087145	2.0722	0.49238	0.99779	0.038249	0.14841	0.0010893	2.0722	0.49238	0.99779	0.038249	0.14841	-0.024425	-0.99268	0.73837	0.99194	0.32087	0.5708	0.025514	1.0369	0.72333	0.99154	0.29979	0.5468
sll1660	5	0.010148	1.6463	0.42771	0.99779	0.099694	0.26571	0.0012685	1.6463	0.42771	0.99779	0.099694	0.26571	-0.0092125	-0.25549	0.92673	0.99664	0.79834	0.89902	0.010481	0.29065	0.90856	0.99701	0.77132	0.8871
sll1665	5	0.013956	1.3079	0.28546	0.94593	0.19091	0.38712	0.0017445	1.3079	0.28546	0.94593	0.19091	0.38712	-0.060517	-0.96835	0.41735	0.96864	0.33287	0.58011	0.062262	0.99618	0.40465	0.96419	0.31916	0.5647
sll1664	5	-0.0040452	-0.47	0.78546	0.99804	0.63835	0.77936	-0.00050565	-0.47	0.78546	0.99804	0.63835	0.77936	-0.034158	-0.67764	0.63951	0.99097	0.498	0.71559	0.033653	0.66757	0.64244	0.99154	0.50441	0.71759
slr1104	5	0.0072791	0.93615	0.56624	0.99779	0.3492	0.55254	0.00090989	0.93615	0.56624	0.99779	0.3492	0.55254	0.048729	1.0722	0.45135	0.97343	0.28364	0.53273	-0.047819	-1.0521	0.46503	0.97509	0.29275	0.53914
slr1417	5	0.0053948	1.0183	0.67487	0.99804	0.30854	0.5128	0.00067435	1.0183	0.67487	0.99804	0.30854	0.5128	-0.13791	-4.4475	0.16178	0.79103	8.686e-06	0.00041547	0.13859	4.4691	0.16354	0.7979	7.8538e-06	0.00037218
slr1414	5	0.0074836	1.3609	0.5551	0.99779	0.17356	0.36539	0.00093545	1.3609	0.5551	0.99779	0.17356	0.36539	0.00094361	0.02924	0.94783	0.99664	0.97667	0.99022	-8.1634e-06	-0.00025292	0.96698	0.99843	0.9998	0.9999
sll0696	5	0.011888	0.59368	0.35502	0.97271	0.55273	0.71926	0.001486	0.59368	0.35502	0.97271	0.55273	0.71926	-0.26101	-2.2279	0.084603	0.64627	0.025888	0.1325	0.26249	2.2405	0.086166	0.64905	0.025056	0.12824
slr0613	5	0.009429	1.0165	0.4617	0.99779	0.3094	0.51347	0.0011786	1.0165	0.4617	0.99779	0.3094	0.51347	0.091938	1.6929	0.20399	0.84466	0.090481	0.28638	-0.09076	-1.671	0.2118	0.85556	0.094724	0.29255
slr0612	5	0.041313	1.4592	0.056077	0.4974	0.14452	0.32952	0.0051641	1.4592	0.056077	0.4974	0.14452	0.32952	-0.29324	-1.7721	0.074443	0.61353	0.076379	0.25718	0.2984	1.8033	0.075029	0.6144	0.071341	0.24538
slr1102	5	-0.014809	-1.7419	0.39683	0.99029	0.081518	0.23531	-0.0018512	-1.7419	0.39683	0.99029	0.081518	0.23531	-0.0080298	-0.16149	0.94099	0.99664	0.87171	0.94401	0.0061786	0.12425	0.96151	0.99843	0.90111	0.95545
dfr	5	-0.020682	-2.267	0.26905	0.9345	0.023388	0.10803	-0.0025853	-2.267	0.26905	0.9345	0.023388	0.10803	0.027176	0.50537	0.6483	0.99104	0.6133	0.78945	-0.029761	-0.5533	0.62603	0.99154	0.58006	0.76836
ycf6	1	-0.0952	-3.4453	0.091637	0.6245	0.00057046	0.0061725	-0.0119	-3.4453	0.091637	0.6245	0.00057046	0.0061725	-0.016069	-0.099507	0.92771	0.99664	0.92074	0.96505	0.0041691	0.025816	0.97304	0.99843	0.9794	0.99108
sll1052	5	-0.02809	-3.0023	0.15279	0.79715	0.0026794	0.022517	-0.0035113	-3.0023	0.15279	0.79715	0.0026794	0.022517	0.011118	0.20293	0.83001	0.99194	0.83919	0.92322	-0.014629	-0.26699	0.79582	0.99154	0.78947	0.89471
exbB	5	-0.0012811	-0.32645	0.93357	0.99804	0.74409	0.84933	-0.00016013	-0.32645	0.93357	0.99804	0.74409	0.84933	-0.04544	-1.9798	0.5256	0.98134	0.047728	0.19398	0.04528	1.9727	0.52833	0.98127	0.048527	0.19283
sll1054	5	-0.016939	-1.9437	0.34447	0.96983	0.051933	0.18081	-0.0021174	-1.9437	0.34447	0.96983	0.051933	0.18081	0.017364	0.33963	0.76241	0.99194	0.73413	0.86335	-0.019481	-0.38099	0.74189	0.99154	0.70321	0.84862
slr1094	5	0.0046438	0.89473	0.71864	0.99804	0.37093	0.57337	0.00058048	0.89473	0.71864	0.99804	0.37093	0.57337	-0.0069939	-0.23002	0.95233	0.99664	0.81808	0.91226	0.0075744	0.24908	0.94451	0.99843	0.8033	0.9022
xerC	5	0.00091634	0.15059	0.94412	0.99804	0.8803	0.93608	0.00011454	0.15059	0.94412	0.99804	0.8803	0.93608	0.093345	2.6199	0.19715	0.83943	0.0087956	0.066717	-0.09323	-2.6164	0.2034	0.84703	0.0088853	0.06562
sgl0002	3	-0.0039087	-0.75118	0.76729	0.99804	0.45254	0.64318	-0.00048859	-0.75118	0.76729	0.99804	0.45254	0.64318	-0.10266	-3.3708	0.25088	0.89601	0.00074942	0.011932	0.10217	3.3547	0.25186	0.89917	0.00079464	0.012176
sll1214	5	0.0075037	0.25915	0.55471	0.99779	0.79552	0.88269	0.00093796	0.25915	0.55471	0.99779	0.79552	0.88269	-0.65889	-3.8809	0.011333	0.2197	0.00010409	0.0028795	0.65982	3.8871	0.013482	0.2491	0.00010144	0.0027662
bcp2	5	-0.010472	-1.5069	0.53185	0.99779	0.13184	0.31281	-0.0013089	-1.5069	0.53185	0.99779	0.13184	0.31281	-0.10558	-2.5857	0.21376	0.85737	0.0097183	0.071055	0.10427	2.5534	0.21884	0.86486	0.010668	0.074894
phoU	5	0.11453	1.4926	0.0025401	0.065	0.13553	0.3179	0.014316	1.4926	0.0025401	0.065	0.13553	0.3179	-0.65707	-1.4647	0.011528	0.2214	0.14301	0.37059	0.67139	1.4966	0.012505	0.23273	0.13449	0.35648
ubiX	5	-0.031127	-3.7653	0.11723	0.71344	0.00016632	0.0021605	-0.0038908	-3.7653	0.11723	0.71344	0.00016632	0.0021605	0.12713	2.6079	0.099453	0.67507	0.0091093	0.06816	-0.13102	-2.6868	0.093787	0.66713	0.0072142	0.057244
sds	5	-0.081441	-3.9654	0.0011723	0.036364	7.3281e-05	0.0010655	-0.01018	-3.9654	0.0011723	0.036364	7.3281e-05	0.0010655	-0.20968	-1.738	0.10942	0.69479	0.082204	0.27039	0.1995	1.6536	0.11606	0.70784	0.098205	0.29793
sll1053	5	-0.036593	-2.3665	0.071317	0.55136	0.017958	0.09059	-0.0045741	-2.3665	0.071317	0.55136	0.017958	0.09059	0.18189	1.9989	0.031262	0.41026	0.045616	0.18782	-0.18646	-2.0487	0.028527	0.39459	0.040494	0.17343
sll1401	4	0.0013529	0.23973	0.9492	0.99804	0.81054	0.89122	0.00016911	0.23973	0.9492	0.99804	0.81054	0.89122	0.017372	0.52552	0.77354	0.99194	0.59922	0.78115	-0.017203	-0.52035	0.77902	0.99154	0.60282	0.78206
sll1400	4	-0.011639	-1.4781	0.50449	0.99779	0.13937	0.32247	-0.0014549	-1.4781	0.50449	0.99779	0.13937	0.32247	0.037306	0.80796	0.58304	0.98873	0.41911	0.65596	-0.038761	-0.83935	0.57835	0.98735	0.40127	0.63819
sll1407	5	0.026206	2.2353	0.11293	0.69305	0.0254	0.11374	0.0032757	2.2353	0.11293	0.69305	0.0254	0.11374	-0.15781	-2.3004	0.14107	0.75313	0.021426	0.11779	0.16109	2.3481	0.14048	0.75844	0.018871	0.10827
infB	5	-0.039134	-4.6987	0.055881	0.49739	2.6183e-06	5.7023e-05	-0.0048918	-4.6987	0.055881	0.49739	2.6183e-06	5.7023e-05	0.13798	2.8257	0.078351	0.6315	0.0047172	0.044448	-0.14287	-2.9255	0.072098	0.61238	0.0034388	0.034645
sll1405	5	0.0075418	1.7131	0.55295	0.99779	0.086688	0.24512	0.00094273	1.7131	0.55295	0.99779	0.086688	0.24512	-0.030996	-1.2034	0.67253	0.99194	0.22882	0.47633	0.031939	1.2399	0.65983	0.99154	0.215	0.45714
msrA	5	-0.0018601	-0.24065	0.90309	0.99804	0.80983	0.89122	-0.00023252	-0.24065	0.90309	0.99804	0.80983	0.89122	-0.11501	-2.5366	0.19422	0.83556	0.011192	0.078362	0.11478	2.5313	0.19754	0.83993	0.011363	0.077852
phoA	5	0.0073194	1.4511	0.56467	0.99779	0.14675	0.3316	0.00091492	1.4511	0.56467	0.99779	0.14675	0.3316	-0.044889	-1.5144	0.5295	0.98134	0.12993	0.35103	0.045804	1.545	0.52325	0.98127	0.12235	0.33866
nifS	5	0.021018	2.6492	0.1569	0.80739	0.0080671	0.051609	0.0026272	2.6492	0.1569	0.80739	0.0080671	0.051609	0.016036	0.3457	0.77491	0.99194	0.72957	0.86075	-0.013409	-0.28905	0.81165	0.99154	0.77254	0.88713
sll1659	5	-0.01639	-1.9555	0.35932	0.97715	0.05052	0.17802	-0.0020487	-1.9555	0.35932	0.97715	0.05052	0.17802	-0.059511	-1.2129	0.42243	0.96864	0.22519	0.47176	0.057462	1.171	0.4363	0.97294	0.24159	0.48738
ycf10	5	0.0067356	1.1566	0.59437	0.99779	0.24746	0.45142	0.00084195	1.1566	0.59437	0.99779	0.24746	0.45142	-0.084979	-2.4886	0.28195	0.91561	0.012824	0.086019	0.085821	2.5131	0.28136	0.92058	0.011969	0.080813
sll1213	5	0.010823	1.4753	0.3984	0.99029	0.14014	0.3236	0.0013529	1.4753	0.3984	0.99029	0.14014	0.3236	0.067636	1.5758	0.32024	0.93739	0.11507	0.32982	-0.066283	-1.5442	0.33236	0.94448	0.12254	0.33883
ank	5	0.036135	2.7722	0.069754	0.54824	0.0055686	0.038934	0.0045168	2.7722	0.069754	0.54824	0.0055686	0.038934	0.13214	1.7319	0.089683	0.65156	0.083299	0.27241	-0.12762	-1.6725	0.098867	0.68011	0.094431	0.29202
me	5	0.018957	3.0151	0.18054	0.85161	0.0025685	0.021905	0.0023697	3.0151	0.18054	0.85161	0.0025685	0.021905	0.064353	1.747	0.34017	0.94939	0.080635	0.26677	-0.061983	-1.6824	0.35795	0.94922	0.092483	0.2888
sll1671	5	0.014302	2.8821	0.27784	0.94176	0.0039507	0.030185	0.0017877	2.8821	0.27784	0.94176	0.0039507	0.030185	-0.082331	-2.837	0.29621	0.9335	0.004554	0.043484	0.084119	2.8985	0.28742	0.92058	0.0037496	0.036764
sll1672	5	-0.0039859	-0.76078	0.78781	0.99804	0.44679	0.63756	-0.00049824	-0.76078	0.78781	0.99804	0.44679	0.63756	-0.020569	-0.66917	0.78253	0.99194	0.50339	0.71864	0.020071	0.65288	0.78624	0.99154	0.51384	0.72427
sll1673	5	0.003382	0.96886	0.79758	0.99804	0.33262	0.53666	0.00042275	0.96886	0.79758	0.99804	0.33262	0.53666	-0.019167	-0.93801	0.80207	0.99194	0.34824	0.59331	0.01959	0.95863	0.79211	0.99154	0.33774	0.58259
sll1675	5	-0.00062595	-0.12051	0.97245	0.99804	0.90408	0.94972	-7.8243e-05	-0.12051	0.97245	0.99804	0.90408	0.94972	-0.008343	-0.27367	0.93669	0.99664	0.78434	0.89225	0.0082648	0.27106	0.93591	0.99843	0.78634	0.89275
slr0251	5	0.0019658	0.18527	0.88159	0.99804	0.85302	0.91955	0.00024573	0.18527	0.88159	0.99804	0.85302	0.91955	0.23937	3.8305	0.0062524	0.1448	0.0001279	0.0033061	-0.23913	-3.8247	0.0062524	0.14747	0.00013095	0.0033344
fhuA2	5	0.013651	2.1386	0.29406	0.94628	0.03247	0.13369	0.0017063	2.1386	0.29406	0.94628	0.03247	0.13369	-0.031187	-0.8347	0.67018	0.99194	0.40389	0.64136	0.032893	0.8803	0.65064	0.99154	0.3787	0.61807
sll1678	5	0.0049	1.4649	0.70418	0.99804	0.14295	0.3274	0.0006125	1.4649	0.70418	0.99804	0.14295	0.3274	0.0078514	0.40073	0.86733	0.99664	0.68862	0.83974	-0.0072389	-0.36943	0.88335	0.99691	0.71181	0.85197
bvdR	5	-0.0024189	-0.42573	0.87143	0.99804	0.67031	0.80136	-0.00030236	-0.42573	0.87143	0.99804	0.67031	0.80136	-0.0052776	-0.15881	0.97245	0.99664	0.87382	0.94431	0.0049753	0.1497	0.97401	0.99843	0.881	0.94389
ssr2998	4	-0.026157	-2.4384	0.21258	0.89176	0.014754	0.07902	-0.0032696	-2.4384	0.21258	0.89176	0.014754	0.07902	0.075229	1.1986	0.32435	0.93998	0.23067	0.47816	-0.078499	-1.2506	0.31243	0.93421	0.21107	0.45306
nusA	5	0.049684	1.8788	0.039273	0.40606	0.060268	0.19647	0.0062105	1.8788	0.039273	0.40606	0.060268	0.19647	-0.41677	-2.693	0.037905	0.46081	0.0070823	0.058167	0.42298	2.7336	0.038882	0.46824	0.0062647	0.052937
slr0729	5	0.003627	0.3955	0.77999	0.99804	0.69248	0.81736	0.00045337	0.3955	0.77999	0.99804	0.69248	0.81736	0.04081	0.76102	0.51778	0.98134	0.44665	0.67673	-0.040357	-0.75254	0.52794	0.98127	0.45173	0.68083
slr0728	5	-0.008428	-0.65198	0.59867	0.99779	0.51441	0.68849	-0.0010535	-0.65198	0.59867	0.99779	0.51441	0.68849	0.28034	3.6976	0.0015631	0.061538	0.00021765	0.0048223	-0.28139	-3.7107	0.0015631	0.06383	0.00020665	0.0046387
slr0723	5	-0.012545	-1.8158	0.46112	0.99779	0.069399	0.21451	-0.0015681	-1.8158	0.46112	0.99779	0.069399	0.21451	-0.098319	-2.4223	0.2331	0.87915	0.015423	0.096739	0.096751	2.3834	0.23955	0.88905	0.017151	0.10272
sll1064	5	0.011795	2.8815	0.35893	0.97713	0.0039575	0.030185	0.0014743	2.8815	0.35893	0.97713	0.0039575	0.030185	-0.063134	-2.6357	0.39937	0.96649	0.0083972	0.064724	0.064609	2.6971	0.3898	0.9637	0.0069953	0.056685
slr1101	5	-0.0034785	-0.62833	0.81419	0.99804	0.52979	0.70154	-0.00043481	-0.62833	0.81419	0.99804	0.52979	0.70154	-0.0043991	-0.13534	0.98124	0.99664	0.89234	0.95349	0.0039643	0.12194	0.98671	0.99843	0.90294	0.95599
dnaJ	5	0.01317	1.5377	0.30969	0.95384	0.12412	0.30036	0.0016462	1.5377	0.30969	0.95384	0.12412	0.30036	0.04755	0.94858	0.46034	0.97443	0.34283	0.5882	-0.045903	-0.91567	0.48183	0.97509	0.35984	0.60184
sll1061	4	0.0033629	0.73894	0.83255	0.99804	0.45994	0.64884	0.00042036	0.73894	0.83255	0.99804	0.45994	0.64884	0.041437	1.5531	0.54826	0.98143	0.1204	0.33801	-0.041017	-1.5371	0.55842	0.98127	0.12426	0.34155
sll1060	5	-0.0015648	-0.35201	0.91813	0.99804	0.72483	0.8393	-0.0001956	-0.35201	0.91813	0.99804	0.72483	0.8393	-0.058089	-2.2326	0.43161	0.97343	0.025577	0.1313	0.057893	2.2249	0.43279	0.97294	0.026085	0.13205
sll1063	5	0.0055331	0.53522	0.66471	0.99804	0.5925	0.74961	0.00069164	0.53522	0.66471	0.99804	0.5925	0.74961	0.04537	0.74918	0.47831	0.9778	0.45375	0.68262	-0.044678	-0.73768	0.49062	0.97806	0.46071	0.68523
lepB	5	-0.012676	-1.8049	0.45643	0.99779	0.071087	0.21736	-0.0015846	-1.8049	0.45643	0.99779	0.071087	0.21736	0.074007	1.8003	0.29015	0.9259	0.071812	0.248	-0.075592	-1.8387	0.2839	0.92058	0.065959	0.23138
glgA	5	0.010243	1.9327	0.42399	0.99779	0.053277	0.18341	0.0012803	1.9327	0.42399	0.99779	0.053277	0.18341	-0.11918	-3.8444	0.18777	0.82705	0.00012087	0.0031562	0.12046	3.8855	0.18777	0.82702	0.00010213	0.0027662
ksgA	5	0.014308	2.6176	0.27765	0.94176	0.008855	0.055268	0.0017885	2.6176	0.27765	0.94176	0.008855	0.055268	-0.0081888	-0.25627	0.93904	0.99664	0.79774	0.89902	0.0099773	0.31223	0.91383	0.99703	0.75486	0.87658
sll1680	5	0.0099093	1.5874	0.43865	0.99779	0.11241	0.28305	0.0012387	1.5874	0.43865	0.99779	0.11241	0.28305	-0.067324	-1.8396	0.37417	0.96048	0.065825	0.23431	0.068563	1.8733	0.36733	0.94952	0.061029	0.22043
sll0703	5	0.0080912	1.7913	0.5254	0.99779	0.073238	0.22082	0.0010114	1.7913	0.5254	0.99779	0.073238	0.22082	-0.025656	-0.97102	0.72392	0.99194	0.33154	0.57892	0.026667	1.0093	0.71297	0.99154	0.31285	0.56002
sll0702	5	0.009378	1.9456	0.46327	0.99779	0.051697	0.18015	0.0011723	1.9456	0.46327	0.99779	0.051697	0.18015	-0.029918	-1.0595	0.68445	0.99194	0.28936	0.53892	0.03109	1.1009	0.66999	0.99154	0.27093	0.51797
ycf4	5	0.019991	1.2484	0.16843	0.82821	0.21189	0.41234	0.0024989	1.2484	0.16843	0.82821	0.21189	0.41234	-0.23148	-2.4666	0.098085	0.67377	0.01364	0.089501	0.23397	2.4932	0.10063	0.68484	0.01266	0.084148
sll1319	5	0.0063519	0.78087	0.61372	0.99779	0.43488	0.62894	0.00079398	0.78087	0.61372	0.99779	0.43488	0.62894	-0.016875	-0.3532	0.83216	0.99194	0.72394	0.85866	0.017669	0.36975	0.81555	0.99154	0.71157	0.85197
sll1318	5	0.005782	1.2898	0.64908	0.99804	0.19711	0.39423	0.00072275	1.2898	0.64908	0.99804	0.19711	0.39423	0.038247	1.4559	0.54142	0.98134	0.14542	0.37306	-0.037524	-1.4282	0.55412	0.98127	0.15323	0.3833
slr1127	5	0.0047779	0.91053	0.71102	0.99804	0.36254	0.56622	0.00059724	0.91053	0.71102	0.99804	0.36254	0.56622	-0.043613	-1.4177	0.54181	0.98134	0.15629	0.38825	0.044211	1.4369	0.5381	0.98127	0.15074	0.37874
slr1122	5	0.084037	1.7606	0.01016	0.17219	0.078302	0.22926	0.010505	1.7606	0.01016	0.17219	0.078302	0.22926	-0.26455	-0.94896	0.083822	0.64627	0.34264	0.58807	0.27505	0.98666	0.082649	0.64286	0.32381	0.56892
rfbD	5	0.017949	3.2914	0.19734	0.87674	0.00099704	0.0098892	0.0022436	3.2914	0.19734	0.87674	0.00099704	0.0098892	-0.033342	-1.0453	0.64732	0.99104	0.29589	0.54512	0.035585	1.1156	0.62446	0.99154	0.2646	0.5118
psbA2	2	-0.00079784	-0.13787	0.88374	0.99804	0.89034	0.94263	-9.9731e-05	-0.13787	0.88374	0.99804	0.89034	0.94263	-0.03845	-1.1372	0.69148	0.99194	0.25545	0.50595	0.038351	1.1342	0.68679	0.99154	0.25669	0.50262
glgX	5	-0.040076	-4.129	0.05002	0.46545	3.6439e-05	0.00056808	-0.0050095	-4.129	0.05002	0.46545	3.6439e-05	0.00056808	-0.047555	-0.83717	0.5086	0.98134	0.4025	0.64087	0.042545	0.74894	0.55197	0.98127	0.45389	0.68224
pleD	5	0.0029712	0.76806	0.82102	0.99804	0.44245	0.63466	0.0003714	0.76806	0.82102	0.99804	0.44245	0.63466	-0.020118	-0.88894	0.78859	0.99194	0.37403	0.61652	0.02049	0.90529	0.78351	0.99154	0.36531	0.60677
slr1128	5	0.0085437	1.8128	0.50039	0.99779	0.069869	0.21528	0.001068	1.8128	0.50039	0.99779	0.069869	0.21528	-0.03305	-1.1965	0.65025	0.99108	0.2315	0.4793	0.034118	1.235	0.63951	0.99154	0.21682	0.45911
purL	5	-0.024091	-2.9306	0.21141	0.89176	0.0033826	0.026594	-0.0030114	-2.9306	0.21141	0.89176	0.0033826	0.026594	-0.026684	-0.55076	0.71415	0.99194	0.5818	0.77202	0.023672	0.4885	0.74482	0.99154	0.62519	0.79698
gpmB	5	0.0089816	1.2688	0.48281	0.99779	0.20452	0.4043	0.0011227	1.2688	0.48281	0.99779	0.20452	0.4043	0.085505	2.0634	0.23212	0.87879	0.039071	0.17194	-0.084383	-2.0361	0.24131	0.89314	0.041738	0.17705
slr1103	5	0.0047766	0.90771	0.71102	0.99804	0.36403	0.5675	0.00059707	0.90771	0.71102	0.99804	0.36403	0.5675	0.023872	0.77459	0.68327	0.99194	0.43858	0.67045	-0.023275	-0.75514	0.69558	0.99154	0.45017	0.68003
lig	5	-0.015501	-2.1909	0.37808	0.98294	0.028462	0.12169	-0.0019377	-2.1909	0.37808	0.98294	0.028462	0.12169	-0.051734	-1.2501	0.47812	0.9778	0.21128	0.45665	0.049796	1.2032	0.4916	0.97806	0.2289	0.47226
slr0240	5	-0.0030604	-0.41568	0.83646	0.99804	0.67764	0.80693	-0.00038255	-0.41568	0.83646	0.99804	0.67764	0.80693	0.011892	0.27579	0.82083	0.99194	0.78271	0.8908	-0.012274	-0.28463	0.82278	0.99154	0.77592	0.8892
slr0241	5	0.061973	0.87219	0.023642	0.30711	0.38311	0.58512	0.0077466	0.87219	0.023642	0.30711	0.38311	0.58512	-0.65484	-1.5754	0.011528	0.2214	0.11517	0.32982	0.66258	1.5945	0.012896	0.23913	0.11082	0.32011
